"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213744.3",0,NA,NA,NA,NA,NA
"ENSG00000213747.2",0,NA,NA,NA,NA,NA
"ENSG00000213750.4",0,NA,NA,NA,NA,NA
"ENSG00000213752.3",0,NA,NA,NA,NA,NA
"ENSG00000213753.11",0,NA,NA,NA,NA,NA
"ENSG00000213754.2",0,NA,NA,NA,NA,NA
"ENSG00000213755.3",0,NA,NA,NA,NA,NA
"ENSG00000213757.3",0,NA,NA,NA,NA,NA
"ENSG00000213759.10",0,NA,NA,NA,NA,NA
"ENSG00000213759.9",0,NA,NA,NA,NA,NA
"ENSG00000213760.10",1.06497079508529,-3.56464287729914,2.10912157601287,-1.69010782395855,0.0910073283336355,NA
"ENSG00000213761.4",0,NA,NA,NA,NA,NA
"ENSG00000213762.12",0,NA,NA,NA,NA,NA
"ENSG00000213763.4",0,NA,NA,NA,NA,NA
"ENSG00000213770.3",0,NA,NA,NA,NA,NA
"ENSG00000213771.3",0,NA,NA,NA,NA,NA
"ENSG00000213772.3",0,NA,NA,NA,NA,NA
"ENSG00000213774.3",0,NA,NA,NA,NA,NA
"ENSG00000213777.5",0,NA,NA,NA,NA,NA
"ENSG00000213778.2",0,NA,NA,NA,NA,NA
"ENSG00000213779.4",0,NA,NA,NA,NA,NA
"ENSG00000213780.10",0.680867803020209,-0.195224699705395,2.68387138407636,-0.072739960962243,0.942013048509723,NA
"ENSG00000213780.11",0,NA,NA,NA,NA,NA
"ENSG00000213781.3",0,NA,NA,NA,NA,NA
"ENSG00000213783.4",0,NA,NA,NA,NA,NA
"ENSG00000213785.3",0,NA,NA,NA,NA,NA
"ENSG00000213786.3",0,NA,NA,NA,NA,NA
"ENSG00000213787.3",0,NA,NA,NA,NA,NA
"ENSG00000213790.2",0,NA,NA,NA,NA,NA
"ENSG00000213791.4",0,NA,NA,NA,NA,NA
"ENSG00000213793.5",1.72939177983758,2.13845305745729,1.49342366870597,1.43191319534277,0.152168665386766,NA
"ENSG00000213798.3",0,NA,NA,NA,NA,NA
"ENSG00000213799.12",1.27762852165516,3.80229677480861,1.85850995003357,2.04588454032216,0.0407677317161441,NA
"ENSG00000213799.13",0,NA,NA,NA,NA,NA
"ENSG00000213801.4",0.17250885748642,0.914865079416326,4.0804728567969,0.224205652512165,0.822597285360543,NA
"ENSG00000213809.8",0,NA,NA,NA,NA,NA
"ENSG00000213809.9",0,NA,NA,NA,NA,NA
"ENSG00000213816.3",0,NA,NA,NA,NA,NA
"ENSG00000213820.3",0,NA,NA,NA,NA,NA
"ENSG00000213822.6",0,NA,NA,NA,NA,NA
"ENSG00000213830.3",0,NA,NA,NA,NA,NA
"ENSG00000213839.4",0,NA,NA,NA,NA,NA
"ENSG00000213842.2",0,NA,NA,NA,NA,NA
"ENSG00000213846.5",0,NA,NA,NA,NA,NA
"ENSG00000213849.3",0,NA,NA,NA,NA,NA
"ENSG00000213851.3",0,NA,NA,NA,NA,NA
"ENSG00000213853.10",0,NA,NA,NA,NA,NA
"ENSG00000213853.9",0.161484419243957,0.914865079416326,4.0804728567969,0.224205652512165,0.822597285360543,NA
"ENSG00000213854.3",0,NA,NA,NA,NA,NA
"ENSG00000213856.3",0,NA,NA,NA,NA,NA
"ENSG00000213857.3",0,NA,NA,NA,NA,NA
"ENSG00000213859.6",0,NA,NA,NA,NA,NA
"ENSG00000213860.4",0,NA,NA,NA,NA,NA
"ENSG00000213862.4",0,NA,NA,NA,NA,NA
"ENSG00000213863.2",0,NA,NA,NA,NA,NA
"ENSG00000213864.3",0,NA,NA,NA,NA,NA
"ENSG00000213865.7",0,NA,NA,NA,NA,NA
"ENSG00000213866.3",0,NA,NA,NA,NA,NA
"ENSG00000213867.4",0,NA,NA,NA,NA,NA
"ENSG00000213871.3",0,NA,NA,NA,NA,NA
"ENSG00000213872.3",0,NA,NA,NA,NA,NA
"ENSG00000213873.4",0,NA,NA,NA,NA,NA
"ENSG00000213875.3",0,NA,NA,NA,NA,NA
"ENSG00000213876.4",0,NA,NA,NA,NA,NA
"ENSG00000213877.3",0,NA,NA,NA,NA,NA
"ENSG00000213880.3",0,NA,NA,NA,NA,NA
"ENSG00000213881.3",0,NA,NA,NA,NA,NA
"ENSG00000213882.2",0,NA,NA,NA,NA,NA
"ENSG00000213885.3",0,NA,NA,NA,NA,NA
"ENSG00000213885.4",0,NA,NA,NA,NA,NA
"ENSG00000213886.3",0,NA,NA,NA,NA,NA
"ENSG00000213886.4",0,NA,NA,NA,NA,NA
"ENSG00000213888.3",0,NA,NA,NA,NA,NA
"ENSG00000213889.10",0.519383383776251,-1.07108761820748,3.3644127789176,-0.318357968712766,0.750213417046148,NA
"ENSG00000213891.3",0,NA,NA,NA,NA,NA
"ENSG00000213892.11",0,NA,NA,NA,NA,NA
"ENSG00000213892.12",0,NA,NA,NA,NA,NA
"ENSG00000213896.4",0,NA,NA,NA,NA,NA
"ENSG00000213900.2",0,NA,NA,NA,NA,NA
"ENSG00000213901.10",0,NA,NA,NA,NA,NA
"ENSG00000213903.8",0.468183296471235,0.894210333468292,3.57071098156435,0.250429210900887,0.802255442110385,NA
"ENSG00000213903.9",0,NA,NA,NA,NA,NA
"ENSG00000213904.8",1.35543985157545,-0.971739631205038,1.66090529294706,-0.585066249912908,0.55850317127376,NA
"ENSG00000213904.9",0,NA,NA,NA,NA,NA
